Phenotype data set -- Mouse Phenome Database (phenome.jax.org),,,,,,
"Data set: CGDpheno2    Title: Variation over time for C57BL/6J controls, multi-system survey of mouse physiology    Year: 2009",,,,,,
Table of individual animal values,,,,,,
For metadata and more info please see:  http://phenome.jax.org/db/q?rtn=projects/details&sym=CGDpheno2&mlistmode=varnames,,,,,,
,,,,,,
strain,id,age,sex,PLT,MPV,
C57BL/6J,444677,11,f,1098,4.7,
C57BL/6J,444678,11,f,1218,5.2,
C57BL/6J,444679,11,f,989,5,
C57BL/6J,451208,11,f,772,5.1,
C57BL/6J,451209,11,f,769,5.7,
C57BL/6J,451210,11,f,1236,6.2,
C57BL/6J,451211,11,f,1381,6.1,
C57BL/6J,452421,11,f,884,4.7,
C57BL/6J,452423,11,f,832,5.3,
C57BL/6J,452425,11,f,1004,5.2,
C57BL/6J,452427,11,f,1020,5.1,
C57BL/6J,453931,11,f,993,5.5,
C57BL/6J,453935,11,f,1007,5.5,
C57BL/6J,453937,11,f,1007,5.4,
C57BL/6J,455549,11,f,900,5.2,
C57BL/6J,455551,11,f,693,4.5,
C57BL/6J,455553,11,f,803,5.1,
C57BL/6J,456940,11,f,1011,6,
C57BL/6J,456942,11,f,975,6.3,
C57BL/6J,456944,11,f,1037,5.9,
C57BL/6J,456946,11,f,952,6.1,
C57BL/6J,458729,10,f,1076,5.3,
C57BL/6J,458731,10,f,841,4.8,
C57BL/6J,458733,10,f,1048,5.5,
C57BL/6J,458735,10,f,1026,5.4,
C57BL/6J,458737,10,f,1215,5.8,
C57BL/6J,458739,10,f,1239,5.9,
C57BL/6J,458741,10,f,1104,5.6,
C57BL/6J,458743,10,f,1279,5.7,
C57BL/6J,460139,11,f,1066,5.3,
C57BL/6J,460141,11,f,1208,5.2,
C57BL/6J,460143,11,f,1071,5.3,
C57BL/6J,460145,11,f,1138,5.4,
C57BL/6J,461893,11,f,250,4.8,
C57BL/6J,461897,11,f,368,4.6,
C57BL/6J,462925,11,f,1024,5.6,
C57BL/6J,462927,11,f,850,4.9,
C57BL/6J,462931,11,f,978,5.6,
C57BL/6J,462933,11,f,823,4.5,
C57BL/6J,462935,11,f,1083,5.4,
C57BL/6J,462937,11,f,1181,5.7,
C57BL/6J,462939,11,f,1294,5.6,
C57BL/6J,465343,11,f,966,5.2,
C57BL/6J,465345,11,f,990,5.4,
C57BL/6J,465347,11,f,935,5.4,
C57BL/6J,465349,11,f,907,5.3,
C57BL/6J,467180,11,f,1022,5.9,
C57BL/6J,467182,11,f,1082,6.1,
C57BL/6J,467184,11,f,942,5.2,
C57BL/6J,467186,11,f,862,4.8,
C57BL/6J,470409,11,f,999,6,
C57BL/6J,470413,11,f,819,5,
C57BL/6J,470415,11,f,1073,5.4,
C57BL/6J,473347,11,f,835,5.7,
C57BL/6J,473349,11,f,1076,5.5,
C57BL/6J,473351,11,f,1065,5.6,
C57BL/6J,473353,11,f,1032,5.5,
C57BL/6J,477020,11,f,1017,5.8,
C57BL/6J,477022,11,f,833,4.7,
C57BL/6J,477024,11,f,521,5,
C57BL/6J,480388,11,f,1093,5.8,
C57BL/6J,480390,11,f,1041,5.7,
C57BL/6J,480392,11,f,969,5,
C57BL/6J,480394,11,f,989,4.9,
C57BL/6J,484218,11,f,571,4.5,
C57BL/6J,484220,12,f,263,5.8,
C57BL/6J,484224,12,f,735,4.5,
C57BL/6J,487124,11,f,709,5,
C57BL/6J,487126,11,f,418,4.7,
C57BL/6J,487128,11,f,80,7.6,
C57BL/6J,488726,11,f,596,5.7,
C57BL/6J,488728,11,f,987,6.2,
C57BL/6J,488730,11,f,942,5.7,
C57BL/6J,488732,11,f,512,5.8,
C57BL/6J,492058,11,f,387,4.7,
C57BL/6J,492064,11,f,665,4.4,
C57BL/6J,495222,10,f,1034,5,
C57BL/6J,495224,10,f,1144,5,
C57BL/6J,495226,10,f,616,4.8,
C57BL/6J,495228,10,f,994,5.1,
C57BL/6J,496582,11,f,887,5.9,
C57BL/6J,496584,11,f,942,5.1,
C57BL/6J,496586,11,f,1035,5.4,
C57BL/6J,496588,11,f,913,5.3,
C57BL/6J,497988,11,f,1124,6.4,
C57BL/6J,497990,11,f,1092,6.4,
C57BL/6J,497992,11,f,1125,5.9,
C57BL/6J,497994,10,f,1251,5.7,
C57BL/6J,500476,11,f,842,5,
C57BL/6J,500478,11,f,796,4.8,
C57BL/6J,500480,11,f,1085,4.8,
C57BL/6J,500482,11,f,1181,5.3,
C57BL/6J,503426,12,f,396,4.9,
C57BL/6J,503428,12,f,1150,5.3,
C57BL/6J,505042,11,f,1348,6.4,
C57BL/6J,505044,11,f,1279,6.1,
C57BL/6J,507932,11,f,1169,6.3,
C57BL/6J,507934,11,f,1242,6.8,
C57BL/6J,507936,11,f,857,6.1,
C57BL/6J,508688,11,f,1239,5.5,
C57BL/6J,508690,11,f,1248,5.6,
C57BL/6J,508692,11,f,1244,5.6,
C57BL/6J,508694,11,f,1185,5.3,
C57BL/6J,509320,11,f,1282,6.9,
C57BL/6J,509322,11,f,1267,7,
C57BL/6J,509324,11,f,1181,6.9,
C57BL/6J,509326,11,f,1301,7.1,
C57BL/6J,512828,11,f,1329,6,
C57BL/6J,512830,11,f,1144,5.1,
C57BL/6J,514178,11,f,1103,6.7,
C57BL/6J,514180,11,f,1165,7,
C57BL/6J,514182,11,f,1372,6.7,
C57BL/6J,514184,11,f,1264,6.8,
C57BL/6J,516498,11,f,916,6.5,
C57BL/6J,516500,11,f,1006,6.6,
C57BL/6J,516972,11,f,1141,6.4,
C57BL/6J,516974,11,f,1181,6.2,
C57BL/6J,444681,11,m,1311,5.9,
C57BL/6J,444682,11,m,1016,5,
C57BL/6J,444683,11,m,1131,5.4,
C57BL/6J,451212,11,m,511,5.1,
C57BL/6J,451213,11,m,1636,6.1,
C57BL/6J,451214,11,m,1574,6.1,
C57BL/6J,451215,11,m,42,13.9,
C57BL/6J,452429,10,m,1277,5.3,
C57BL/6J,452433,10,m,1086,5.4,
C57BL/6J,452435,10,m,1165,5.2,
C57BL/6J,453939,11,m,1295,5.7,
C57BL/6J,453941,11,m,1186,5.7,
C57BL/6J,453943,11,m,1495,4.9,
C57BL/6J,453945,11,m,1052,5.5,
C57BL/6J,455559,11,m,1083,5.4,
C57BL/6J,455561,11,m,439,5.3,
C57BL/6J,455563,11,m,927,5.1,
C57BL/6J,456948,11,m,1251,6.2,
C57BL/6J,456950,11,m,879,5.5,
C57BL/6J,456952,11,m,1431,6.2,
C57BL/6J,456954,11,m,1121,6.3,
C57BL/6J,460147,11,m,1369,5.4,
C57BL/6J,460149,11,m,1152,5.3,
C57BL/6J,460151,11,m,1042,5.6,
C57BL/6J,460153,11,m,1184,5.6,
C57BL/6J,461899,11,m,1183,5.2,
C57BL/6J,461901,11,m,354,4.5,
C57BL/6J,461903,11,m,562,4.8,
C57BL/6J,461905,11,m,639,4.6,
C57BL/6J,465355,11,m,845,5.1,
C57BL/6J,465357,11,m,949,5.6,
C57BL/6J,467172,11,m,1243,6.5,
C57BL/6J,467174,11,m,1269,6.2,
C57BL/6J,467176,11,m,1186,6.3,
C57BL/6J,467178,11,m,1249,5.9,
C57BL/6J,470417,11,m,1219,6.3,
C57BL/6J,470419,11,m,1100,6.1,
C57BL/6J,470421,11,m,1251,6,
C57BL/6J,470423,11,m,864,4.8,
C57BL/6J,473355,11,m,1237,6,
C57BL/6J,473359,11,m,1058,5.8,
C57BL/6J,473361,11,m,1191,6.1,
C57BL/6J,477026,11,m,1185,6.1,
C57BL/6J,477028,11,m,1340,5.9,
C57BL/6J,477030,11,m,1063,4.8,
C57BL/6J,480406,11,m,1139,6.1,
C57BL/6J,480408,11,m,1198,6.2,
C57BL/6J,480410,11,m,1161,5.2,
C57BL/6J,480412,11,m,1094,4.8,
C57BL/6J,484226,12,m,174,7.8,
C57BL/6J,484232,12,m,763,4.7,
C57BL/6J,487132,11,m,142,8.7,
C57BL/6J,488742,11,m,1179,6.5,
C57BL/6J,488746,11,m,1177,6.3,
C57BL/6J,488748,11,m,1129,6,
C57BL/6J,492066,11,m,1080,5.5,
C57BL/6J,492068,11,m,965,4.8,
C57BL/6J,492072,11,m,968,4.7,
C57BL/6J,495230,11,m,1451,5.2,
C57BL/6J,495232,10,m,1198,5.8,
C57BL/6J,495234,10,m,1166,4.7,
C57BL/6J,496590,11,m,1100,5.3,
C57BL/6J,496592,11,m,1252,5.1,
C57BL/6J,496594,11,m,856,4.4,
C57BL/6J,496596,11,m,1375,5,
C57BL/6J,497996,10,m,877,5.9,
C57BL/6J,498000,10,m,1568,5.9,
C57BL/6J,498002,10,m,1344,5.3,
C57BL/6J,500484,11,m,1226,5.6,
C57BL/6J,500486,11,m,1390,5.7,
C57BL/6J,500488,11,m,1374,5.6,
C57BL/6J,500490,11,m,1406,5.5,
C57BL/6J,503430,12,m,1218,5.3,
C57BL/6J,503432,12,m,996,4.7,
C57BL/6J,505046,11,m,1226,5.3,
C57BL/6J,505048,11,m,1606,6.1,
C57BL/6J,507940,11,m,368,5.5,
C57BL/6J,507942,11,m,1489,5.7,
C57BL/6J,508702,11,m,1419,5.6,
C57BL/6J,508704,11,m,1522,5.7,
C57BL/6J,508706,11,m,1343,5.5,
C57BL/6J,508708,11,m,1313,5.6,
C57BL/6J,509328,11,m,1739,7.3,
C57BL/6J,509330,11,m,1526,7.1,
C57BL/6J,509332,11,m,1522,7.1,
C57BL/6J,509334,11,m,1422,7.1,
C57BL/6J,512832,11,m,1429,6.3,
C57BL/6J,512834,11,m,1521,6.2,
C57BL/6J,514186,11,m,1530,7.2,
C57BL/6J,514188,11,m,1609,7.1,
C57BL/6J,514190,11,m,1477,7,
C57BL/6J,516502,11,m,1160,7.1,
C57BL/6J,516504,11,m,1108,7.1,
C57BL/6J,516976,11,m,1440,6.7,
C57BL/6J,516978,11,m,510,6.2,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
