strain,sex,animal_id,WBC,RBC,HGB,HCT,MCV,MCH,MCHC,PLT,MPV,RDW,pctN,pctL,pctM,pctE,pctB
129S1/SvImJ,f,16:3f,5.90,10.7,16.7,49.4,46.1,15.6,33.7,750,3.80,17.9,8.60,87.1,0.700,3.70,0.0
129S1/SvImJ,f,17:3f,7.30,10.6,16.4,49.2,46.6,15.5,33.3,782,3.60,18.4,9.90,84.8,0.600,4.70,0.0
129S1/SvImJ,f,18:3f,6.10,10.0,15.7,47.2,47.2,15.7,33.2,685,3.70,17.8,12.0,73.0,0.500,14.5,0.0
129S1/SvImJ,f,19:3f,8.20,10.4,16.4,48.6,46.6,15.7,33.8,703,3.60,17.6,10.7,78.8,0.900,9.50,0.0
129S1/SvImJ,f,20:3f,6.80,10.5,16.7,49.9,47.3,15.9,33.5,720,3.50,17.3,11.5,84.1,0.700,3.70,0.0
129S1/SvImJ,f,21:3f,8.90,10.4,16.4,48.9,47.1,15.8,33.5,802,3.70,18.7,10.9,85.4,0.200,3.50,0.0
129S1/SvImJ,f,22:3f,9.30,10.4,16.2,49.1,47.3,15.6,33.0,741,3.60,18.6,9.30,84.9,1.30,4.30,0.300
129S1/SvImJ,f,23:3f,10.2,10.4,16.2,49.0,47.3,15.6,33.0,908,3.60,18.9,12.6,81.3,0.100,5.90,0.0
129S1/SvImJ,f,24:3f,7.80,10.0,15.8,47.6,47.5,15.8,33.2,815,3.50,18.6,5.30,88.6,1.20,4.80,0.200
129S1/SvImJ,f,25:3f,7.00,10.2,16.3,48.8,48.0,16.0,33.3,708,3.70,18.0,11.9,82.4,0.600,5.20,0.0
129S1/SvImJ,f,26:3f,8.80,10.5,16.3,48.6,46.5,15.6,33.5,749,3.50,17.2,9.70,86.2,0.400,3.60,0.100
129S1/SvImJ,f,27:3f,8.00,10.6,16.4,49.4,46.7,15.5,33.3,730,3.60,16.9,10.1,86.5,0.800,2.60,0.0
129S1/SvImJ,f,28:3f,7.70,10.6,16.6,49.8,47.0,15.7,33.4,730,3.40,19.0,11.1,85.0,1.00,2.90,0.0
129S1/SvImJ,f,29:3f,5.20,9.90,15.4,47.6,47.9,15.5,32.3,731,4.00,20.5,15.5,70.9,3.80,9.70,0.100
129S1/SvImJ,f,30:3f,6.80,10.4,16.2,48.9,47.2,15.7,33.2,628,3.60,19.3,8.40,84.5,1.60,5.40,0.100
129S1/SvImJ,m,10:3m,8.90,9.90,14.7,45.6,45.8,14.8,32.3,830,3.80,20.5,9.20,87.6,1.40,1.80,0.0
129S1/SvImJ,m,11:3m,6.60,10.5,16.0,48.2,45.9,15.2,33.1,767,3.50,18.0,17.1,80.9,0.500,1.50,0.0
129S1/SvImJ,m,12:3m,6.70,10.5,16.4,48.8,46.4,15.6,33.5,751,3.80,17.8,12.8,79.8,4.60,2.80,0.100
129S1/SvImJ,m,13:3m,6.50,10.7,16.3,48.9,45.7,15.2,33.3,717,3.90,17.3,12.4,82.6,1.40,3.20,0.400
129S1/SvImJ,m,14:3m,9.00,10.9,16.1,49.2,45.2,14.8,32.8,686,3.70,19.1,13.2,84.7,0.0,2.10,0.0
129S1/SvImJ,m,15:3m,6.60,10.3,16.0,48.2,46.6,15.5,33.2,703,3.40,19.8,12.9,84.5,0.300,2.30,0.0
129S1/SvImJ,m,1:3m,8.80,10.5,16.7,51.4,48.9,15.9,32.5,747,3.80,19.8,9.70,88.7,0.200,1.50,0.0
129S1/SvImJ,m,2:3m,7.00,10.2,15.9,49.4,48.3,15.6,32.2,687,3.80,19.7,13.7,81.0,3.80,1.40,0.100
129S1/SvImJ,m,3:3m,8.90,10.4,16.4,49.2,47.4,15.8,33.2,731,3.90,19.2,15.6,79.4,3.10,1.80,0.0
129S1/SvImJ,m,4:3m,8.70,10.2,15.4,47.6,46.8,15.2,32.5,763,3.60,19.4,17.6,79.8,1.70,0.800,0.100
129S1/SvImJ,m,5:3m,10.8,10.7,16.4,49.1,45.9,15.3,33.3,738,3.80,18.1,10.2,83.0,4.50,2.20,0.200
129S1/SvImJ,m,6:3m,8.00,10.3,15.7,48.7,47.4,15.3,32.2,736,3.70,18.8,16.8,76.8,5.20,0.900,0.300
129S1/SvImJ,m,7:3m,8.90,10.3,15.8,48.2,47.0,15.4,32.8,700,3.70,18.0,15.1,79.9,4.00,0.800,0.100
129S1/SvImJ,m,8:3m,8.40,10.4,16.0,48.1,46.0,15.3,33.2,797,3.70,18.3,15.1,79.7,3.30,1.90,0.0
129S1/SvImJ,m,9:3m,6.30,10.4,15.9,47.5,45.6,15.2,33.4,643,3.70,17.3,18.9,74.4,5.10,1.40,0.200
129S6/SvEvTac,f,11:53f,12.9,9.70,15.5,47.2,48.7,15.9,32.8,797,3.60,17.6,13.9,84.0,0.900,1.20,0.0
129S6/SvEvTac,f,12:53f,7.90,9.40,15.5,46.8,49.7,16.5,33.2,791,3.60,18.7,13.0,78.9,1.80,6.30,0.0
129S6/SvEvTac,f,13:53f,10.6,9.90,16.0,48.0,48.6,16.2,33.3,838,3.60,18.1,10.5,85.9,1.30,2.20,0.100
129S6/SvEvTac,f,14:53f,8.10,9.90,15.9,48.3,48.6,16.0,33.0,548,3.70,18.0,13.8,83.2,0.800,2.30,0.0
129S6/SvEvTac,f,15:53f,11.4,9.80,15.5,47.4,48.2,15.8,32.8,779,3.60,17.4,13.4,82.5,1.40,2.50,0.100
129S6/SvEvTac,f,16:53f,7.40,10.1,15.8,48.4,48.1,15.7,32.6,803,3.50,17.5,11.5,86.1,1.30,1.10,0.0
129S6/SvEvTac,f,17:53f,6.40,9.20,14.7,44.2,48.1,16.0,33.2,780,3.60,18.0,13.3,78.9,1.70,6.10,0.0
129S6/SvEvTac,f,18:53f,6.80,9.40,15.5,46.6,49.5,16.5,33.3,828,3.50,18.5,14.1,77.8,1.20,6.80,0.0
129S6/SvEvTac,f,19:53f,11.1,9.70,15.6,46.8,48.5,16.2,33.3,831,3.70,18.7,11.7,86.3,1.40,0.500,0.0
129S6/SvEvTac,f,20:53f,11.3,9.40,15.0,45.2,48.3,16.0,33.2,846,3.80,18.6,18.3,76.6,3.60,1.40,0.200
129S6/SvEvTac,m,10:53m,9.40,10.2,16.2,49.9,48.9,15.9,32.5,779,3.70,21.0,12.3,84.8,0.800,2.10,0.0
129S6/SvEvTac,m,1:53m,9.90,9.10,14.6,44.4,48.9,16.1,32.9,744,3.60,18.3,10.5,87.2,1.00,1.40,0.0
129S6/SvEvTac,m,2:53m,11.0,9.70,15.1,46.7,48.3,15.6,32.4,922,3.50,19.7,10.6,86.8,1.60,0.900,0.0
129S6/SvEvTac,m,3:53m,8.50,9.60,15.5,46.7,48.8,16.2,33.1,760,3.60,17.8,21.4,75.0,1.10,2.60,0.0
129S6/SvEvTac,m,4:53m,10.2,9.20,14.5,44.0,48.0,15.8,32.8,793,3.90,18.8,8.40,89.5,1.10,1.00,0.0
129S6/SvEvTac,m,5:53m,6.30,9.10,14.2,43.9,48.2,15.6,32.4,606,3.90,18.3,14.9,80.4,2.30,2.40,0.0
